cd_secao;cd_divisao;ds_divisao;cd_grupo;ds_grupo;cd_classe;ds_classe;cd_subclasse;ds_subclasse;insert_tb
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01113;Cultivo de cereais;0111301;Cultivo de arroz;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01113','Cultivo de cereais','0111301','Cultivo de arroz')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01113;Cultivo de cereais;0111302;Cultivo de milho;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01113','Cultivo de cereais','0111302','Cultivo de milho')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01113;Cultivo de cereais;0111303;Cultivo de trigo;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01113','Cultivo de cereais','0111303','Cultivo de trigo')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01113;Cultivo de cereais;0111399;Cultivo de outros cereais não especificados anteriormente;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01113','Cultivo de cereais','0111399','Cultivo de outros cereais não especificados anteriormente')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01121;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;0112101;Cultivo de algodão herbáceo;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01121','Cultivo de algodão herbáceo e de outras fibras de lavoura temporária','0112101','Cultivo de algodão herbáceo')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01121;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;0112102;Cultivo de juta;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01121','Cultivo de algodão herbáceo e de outras fibras de lavoura temporária','0112102','Cultivo de juta')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01121;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;0112199;Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01121','Cultivo de algodão herbáceo e de outras fibras de lavoura temporária','0112199','Cultivo de outras fibras de lavoura temporária não especificadas anteriormente')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01130;Cultivo de cana-de-açúcar;0113000;Cultivo de cana-de-açúcar;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01130','Cultivo de cana-de-açúcar','0113000','Cultivo de cana-de-açúcar')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01148;Cultivo de fumo;0114800;Cultivo de fumo;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01148','Cultivo de fumo','0114800','Cultivo de fumo')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01156;Cultivo de soja;0115600;Cultivo de soja;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01156','Cultivo de soja','0115600','Cultivo de soja')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01164;Cultivo de oleaginosas de lavoura temporária, exceto soja;0116401;Cultivo de amendoim;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01164','Cultivo de oleaginosas de lavoura temporária, exceto soja','0116401','Cultivo de amendoim')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01164;Cultivo de oleaginosas de lavoura temporária, exceto soja;0116402;Cultivo de girassol;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01164','Cultivo de oleaginosas de lavoura temporária, exceto soja','0116402','Cultivo de girassol')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01164;Cultivo de oleaginosas de lavoura temporária, exceto soja;0116403;Cultivo de mamona;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01164','Cultivo de oleaginosas de lavoura temporária, exceto soja','0116403','Cultivo de mamona')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01164;Cultivo de oleaginosas de lavoura temporária, exceto soja;0116499;Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01164','Cultivo de oleaginosas de lavoura temporária, exceto soja','0116499','Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0119901;Cultivo de abacaxi;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01199','Cultivo de plantas de lavoura temporária não especificadas anteriormente','0119901','Cultivo de abacaxi')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0119902;Cultivo de alho;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01199','Cultivo de plantas de lavoura temporária não especificadas anteriormente','0119902','Cultivo de alho')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0119903;Cultivo de batata-inglesa;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01199','Cultivo de plantas de lavoura temporária não especificadas anteriormente','0119903','Cultivo de batata-inglesa')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0119904;Cultivo de cebola;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01199','Cultivo de plantas de lavoura temporária não especificadas anteriormente','0119904','Cultivo de cebola')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0119905;Cultivo de feijão;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01199','Cultivo de plantas de lavoura temporária não especificadas anteriormente','0119905','Cultivo de feijão')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0119906;Cultivo de mandioca;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01199','Cultivo de plantas de lavoura temporária não especificadas anteriormente','0119906','Cultivo de mandioca')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0119907;Cultivo de melão;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01199','Cultivo de plantas de lavoura temporária não especificadas anteriormente','0119907','Cultivo de melão')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0119908;Cultivo de melancia;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01199','Cultivo de plantas de lavoura temporária não especificadas anteriormente','0119908','Cultivo de melancia')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0119909;Cultivo de tomate rasteiro;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01199','Cultivo de plantas de lavoura temporária não especificadas anteriormente','0119909','Cultivo de tomate rasteiro')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;011;Produção de lavouras temporárias;01199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0119999;Cultivo de outras plantas de lavoura temporária não especificadas anteriormente;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','011','Produção de lavouras temporárias','01199','Cultivo de plantas de lavoura temporária não especificadas anteriormente','0119999','Cultivo de outras plantas de lavoura temporária não especificadas anteriormente')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;012;Horticultura e floricultura;01211;Horticultura;0121101;Horticultura, exceto morango;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','012','Horticultura e floricultura','01211','Horticultura','0121101','Horticultura, exceto morango')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;012;Horticultura e floricultura;01211;Horticultura;0121102;Cultivo de morango;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','012','Horticultura e floricultura','01211','Horticultura','0121102','Cultivo de morango')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;012;Horticultura e floricultura;01229;Cultivo de flores e plantas ornamentais;0122900;Cultivo de flores e plantas ornamentais;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','012','Horticultura e floricultura','01229','Cultivo de flores e plantas ornamentais','0122900','Cultivo de flores e plantas ornamentais')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;013;Produção de lavouras permanentes;01318;Cultivo de laranja;0131800;Cultivo de laranja;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','013','Produção de lavouras permanentes','01318','Cultivo de laranja','0131800','Cultivo de laranja')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;013;Produção de lavouras permanentes;01326;Cultivo de uva;0132600;Cultivo de uva;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','013','Produção de lavouras permanentes','01326','Cultivo de uva','0132600','Cultivo de uva')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;013;Produção de lavouras permanentes;01334;Cultivo de frutas de lavoura permanente, exceto laranja e uva;0133401;Cultivo de açaí;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','013','Produção de lavouras permanentes','01334','Cultivo de frutas de lavoura permanente, exceto laranja e uva','0133401','Cultivo de açaí')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;013;Produção de lavouras permanentes;01334;Cultivo de frutas de lavoura permanente, exceto laranja e uva;0133402;Cultivo de banana;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','013','Produção de lavouras permanentes','01334','Cultivo de frutas de lavoura permanente, exceto laranja e uva','0133402','Cultivo de banana')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;013;Produção de lavouras permanentes;01334;Cultivo de frutas de lavoura permanente, exceto laranja e uva;0133403;Cultivo de caju;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','013','Produção de lavouras permanentes','01334','Cultivo de frutas de lavoura permanente, exceto laranja e uva','0133403','Cultivo de caju')
A;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;013;Produção de lavouras permanentes;01334;Cultivo de frutas de lavoura permanente, exceto laranja e uva;0133404;Cultivo de cítricos, exceto laranja;('A','01','AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS','013','Produção de lavouras permanentes','01334','Cultivo de frutas de lavoura permanente, exceto laranja e uva','0133404','Cultivo de cítricos, exceto laranja')
